year,vessels,gross_tonnage,with_pilot,sp1_given,non_call_in,over_200m,under_500gt,total_tankers,lpg_tankers,chemical_tankers,towaged,avg_gt_per_vessel
2006,54880,475796880.0,26589,53324,31880,3653,2176,7659,814,1680,111,8669.768221574344
2007,56606,484867696.0,26685,55132,31826,3653,2138,7204,800,2050,105,8565.659046744162
2008,54396,515639614.0,27001,53232,31762,3911,1800,6564,764,1975,119,9479.366387234355
2009,51422,514656446.0,24977,50712,32297,3871,1128,6557,866,1876,122,10008.487534518299
2010,50871,505615881.0,26035,50020,28668,3623,1377,6464,1099,1711,115,9939.17715397771
2011,49798,523543509.0,26011,49179,27938,3800,1046,6216,1227,1660,93,10513.344090124101
2012,48329,550526579.0,24812,47638,27345,3866,1064,5913,1336,1779,98,11391.226365122391
2013,46532,551771780.0,24023,45616,26577,3801,1192,5685,1741,1580,87,11857.899510014613
2014,45529,582468334.0,24508,44928,26212,4295,928,5587,1540,1618,90,12793.34784423115
2015,43544,565216784.0,23349,43039,25243,3930,879,5825,1232,1576,71,12980.359728091125
2016,42553,565282287.0,22356,42132,26050,3873,522,6033,989,1681,73,13284.193523370855
2017,42978,599324748.0,24059,42700,26111,4005,436,6212,742,1878,88,13944.91944715901
2018,41103,613088166.0,23565,40844,25884,4106,508,6014,623,1950,116,14915.898255601782
2019,41112,638892062.0,26632,40870,26138,4400,333,5934,561,2462,89,15540.28171823312
2020,38404,619758776.0,24754,38175,24623,4952,374,5252,530,2653,67,16137.870430163524
2021,38551,631920375.0,25357,38340,24654,5306,374,5085,462,2701,75,16391.802417576717
2022,35146,541444690.0,23380,35083,20670,4079,388,5447,424,2782,96,15405.584988334376
2023,39000,621638377.9999999,25337,38688,23113,4770,988,6174,442,2671,115,15939.445589743587
2024,41363,639773180.0,25327,40962,25499,4736,1855,6233,526,2910,87,15467.281870270532
2025,40172,619298004.0,24608,38429,23611,4314,2531,6314,736,2504,89,15416.160609379667
